,alpha,decay,values,total_error,mean_reward,is_optimal_policy
0,0.01,10,"[ 0.          0.28493722 -0.10409053 -0.14367188  0.71807485  0.56659254
  0.         -0.18136836  0.91534547  0.54343505  0.16110676  0.04402976
  0.          0.          0.         -0.06178323]",0.6058258899485042,-0.17242000000000013,False
1,0.01,50,"[ 0.00000000e+00  2.52331707e-01  6.32985320e-02 -5.79281934e-04
  7.36011877e-01  5.63939866e-01  0.00000000e+00 -1.20170840e-01
  9.07293680e-01  5.34607745e-01  2.54753678e-01  1.13845349e-01
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.83054616e-01]",0.3809203587637683,-0.06200000000000002,False
2,0.01,100,"[ 0.          0.2873136  -0.12252881 -0.15083337  0.74751372  0.55857174
  0.         -0.10001401  0.93154629  0.59339297  0.17507771  0.06478018
  0.          0.          0.         -0.09945476]",0.44816790094937436,-0.11405600000000005,False
3,0.01,500,"[ 0.          0.22715626  0.05475533 -0.06035487  0.71926749  0.5331902
  0.         -0.08708026  0.91970076  0.57766996  0.2121528   0.07250241
  0.          0.          0.         -0.13202953]",0.3133750427691892,-0.23401200000000003,True
4,0.01,1000,"[ 0.          0.18964215 -0.07995413 -0.16889311  0.68649149  0.46391977
  0.         -0.21805523  0.90230851  0.48403545  0.05651222 -0.07040354
  0.          0.          0.         -0.23191137]",1.28830779697177,-0.39150000000000007,True
5,0.01,1500,"[ 0.          0.11522207 -0.14030752 -0.22317265  0.67473559  0.41928601
  0.         -0.2324889   0.93323401  0.51857419  0.14187901 -0.0536977
  0.          0.          0.         -0.26172734]",1.4209312430707755,-0.467388,True
6,0.05,10,"[ 0.          0.34926294  0.06883467 -0.065       0.74513375  0.58390957
  0.         -0.14376443  0.93283409  0.48110541  0.18778451  0.07386446
  0.          0.          0.         -0.11262282]",0.3546710632038563,0.04323599999999997,False
7,0.05,50,"[ 0.          0.32143799  0.07466355 -0.04200655  0.73069456  0.57635091
  0.         -0.21206603  0.94943328  0.33878713 -0.12438507 -0.16721606
  0.          0.          0.         -0.17006832]",1.1428189610250388,-0.06740400000000005,False
8,0.05,100,"[ 0.00000000e+00  2.82771399e-01  4.81071602e-02  1.00816115e-02
  7.39513356e-01  5.68130548e-01  0.00000000e+00 -1.40572105e-01
  9.21783588e-01  4.97858717e-01  2.26475298e-01  6.97195541e-04
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.21293246e-01]",0.44956029673685416,-0.06370800000000004,False
9,0.05,500,"[ 0.          0.12808469  0.08425072  0.0111379   0.74669757  0.55371459
  0.         -0.14648336  0.94906045  0.48545489  0.17685506 -0.02555044
  0.          0.          0.         -0.15048762]",0.5541636788431762,-0.22130000000000008,False
10,0.05,1000,"[ 0.          0.15619296 -0.064842   -0.15418928  0.71915506  0.44779337
  0.         -0.19407235  0.90339695  0.3874815  -0.022368   -0.11513365
  0.          0.          0.         -0.14969546]",1.388280901099709,-0.3710280000000001,False
11,0.05,1500,"[ 0.          0.14582869 -0.13193033 -0.20170652  0.69999924  0.3690642
  0.         -0.28138312  0.93264259  0.2712711  -0.11547113 -0.14954286
  0.          0.          0.         -0.30265211]",2.075165431455247,-0.504248,False
12,0.1,10,"[ 0.          0.32155253 -0.06222562 -0.06765392  0.73201795  0.55756183
  0.         -0.18947431  0.86409623  0.4715319  -0.10763176 -0.02745947
  0.          0.          0.         -0.18707646]",1.0698661535895684,-0.020244000000000078,False
13,0.1,50,"[ 0.          0.42695909  0.19577065  0.06330566  0.74626034  0.56542734
  0.         -0.15794618  0.93735746  0.53672099  0.09879799 -0.10795135
  0.          0.          0.         -0.24287313]",0.8929568664161313,-0.09584000000000006,False
14,0.1,100,"[ 0.          0.36098042 -0.06717686 -0.09024619  0.76492219  0.58289049
  0.         -0.15716383  0.93470999  0.54069175  0.26053168  0.05792136
  0.          0.          0.         -0.24614725]",0.7201557885023407,-0.12466400000000008,False
15,0.1,500,"[ 0.          0.08389887  0.02649315 -0.06990889  0.69585089  0.43576107
  0.         -0.23897263  0.85063799  0.40205147  0.23415053 -0.02720303
  0.          0.          0.         -0.27593185]",1.2774734981090288,-0.29529600000000006,False
16,0.1,1000,"[ 0.          0.1343666  -0.21874977 -0.19455765  0.74045086  0.52684655
  0.         -0.27528916  0.97622787  0.67340877  0.3942292   0.04535884
  0.          0.          0.         -0.24911655]",1.4365561140528207,-0.486496,False
17,0.1,1500,"[ 0.          0.03147656 -0.31502729 -0.29202612  0.71444489  0.46345727
  0.         -0.38358411  0.97059991  0.17018423 -0.02222484 -0.27697022
  0.          0.          0.         -0.41719086]",2.744060394524075,-0.582284,False
18,0.5,10,"[ 0.         -0.07072454 -0.35769897 -0.36689568  0.78998447  0.45589953
  0.         -0.38008147  0.98237881  0.44584049 -0.30080273 -0.39243481
  0.          0.          0.         -0.30366671]",2.994928192274927,-6.460544000000004,False
19,0.5,50,"[ 0.         -0.41039235 -0.27247655 -0.32143843  0.84346005  0.7076784
  0.         -0.35627329  0.99996469  0.78287123 -0.72893138 -0.38492686
  0.          0.          0.         -0.43122305]",3.871636270966298,-2.3294519999999896,False
20,0.5,100,"[ 0.          0.56078542  0.19611823 -0.08363078  0.82107313  0.60017738
  0.         -0.31048876  0.98670584  0.4263717  -0.64818249 -0.58524421
  0.          0.          0.         -0.42853848]",2.8725730129211486,-1.2472679999999985,False
21,0.5,500,"[ 0.          0.24722896 -0.4948868  -0.20105504  0.72989875  0.52191968
  0.         -0.49730163  0.97212145  0.30652764 -0.68785065 -0.47837073
  0.          0.          0.         -0.49381993]",3.4658311971888196,-1.062432,False
22,0.5,1000,"[ 0.00000000e+00  4.69498081e-01  1.24411042e-01  1.70227177e-04
  8.59591740e-01  6.89969904e-01  0.00000000e+00 -1.17284613e-01
  9.99994339e-01  5.90527923e-01 -1.35554220e-01 -5.24554545e-01
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.84377563e-01]",1.9055937426735636,-1.0495480000000001,False
23,0.5,1500,"[ 0.         -0.15590211 -0.411858    0.11619613  0.75694176 -0.04915374
  0.         -0.62951009  0.99997287  0.40742258 -0.2994764  -0.39505586
  0.          0.          0.         -0.39740241]",3.7400467803598323,-1.068472,False
